,0
0,-103.79162024074257
1,-105.51448704195116
2,-95.17949408594018
3,-82.35162682172425
4,-82.78231158420405
5,-80.33436253790735
6,-79.99280918065925
7,-81.46371489515255
8,-83.38748277872558
9,-88.2352603844399
10,-87.85081637093502
11,-89.6993669552221
12,-88.96087801499326
13,-88.30080830594736
14,-86.48105743500646
15,-87.33432851909052
16,-84.93138969032096
17,-83.83551440461925
18,-84.22501759322981
19,-85.5411345371569
20,-85.66393841190066
21,-84.66441313734616
22,-84.05217482291917
23,-83.66134520435263
24,-85.62915819629524
25,-83.59653296948342
26,-83.8276976843201
27,-83.5752928687007
28,-82.90387969402414
29,-81.96079402279315
30,-82.53629007908974
31,-81.98884128144564
32,-82.32209210558992
33,-82.77924535260044
34,-83.93790819863293
35,-83.2846631480208
36,-83.78365649844625
37,-83.34759455289016
38,-82.59219423978436
39,-82.95911583578582
40,-82.59036338242427
41,-82.13935103913703
42,-82.60373407221235
43,-83.11955947135971
44,-82.28971121297761
45,-81.92969787742257
46,-81.59291627005477
47,-81.68024715435388
48,-81.83972472479404
49,-82.4951262231861
50,-82.62966710862938
51,-82.31025766913586
52,-82.72948116107679
53,-83.84066755227484
54,-83.43263387132868
55,-83.2769694211893
56,-82.90826863511823
57,-82.2090601950786
58,-82.31820674112626
59,-82.75022500013839
60,-82.41221137641028
61,-82.55683195126893
62,-82.13528498566447
63,-82.11166902287334
64,-81.89015369110136
65,-81.56416803616621
66,-81.46374231764365
67,-81.64163768786717
68,-81.19725499679915
69,-81.4146618103772
70,-81.32540071552667
71,-81.39369430363044
72,-81.32642379749255
73,-81.60015933817951
74,-81.84909150009824
75,-81.39702521007241
76,-81.20449783212206
77,-81.20893530005085
78,-81.4865407151154
79,-81.287303890127
80,-80.98821182440136
81,-81.58268769730402
82,-81.33067370804015
83,-81.34358815809641
84,-81.29802907287973
85,-81.00518565045725
86,-80.94385315496932
87,-81.24850409026249
88,-81.22295505808434
89,-81.09288844264826
90,-81.19574692341625
91,-80.8964167525716
92,-80.59366038026235
93,-80.54578737446555
94,-80.33685363025552
95,-80.72714527976639
96,-80.9461939577817
97,-80.75098194856893
98,-80.50430617934221
99,-80.30511294734286
100,-79.92021552702612
101,-79.52121456111873
102,-79.50478361479806
103,-79.6941328356318
104,-79.69035303424444
105,-79.64437740604716
106,-80.01808718512261
107,-79.71200973751009
108,-79.44190729582235
109,-78.80176433450512
110,-78.95162827918375
111,-78.34733811102028
112,-78.22868015450808
113,-78.24162285676867
114,-78.03655482372024
115,-78.0022798680675
116,-78.60490660729931
117,-78.66550416496652
118,-78.95575482206266
119,-78.63862989286392
120,-78.7072878312297
121,-78.95657151287547
122,-79.04881062705456
123,-79.421684839012
124,-78.80523575512817
125,-79.63269096219312
126,-79.7782962407096
127,-79.72541673286901
128,-80.25844791891474
129,-80.52516169225702
130,-80.34396637315393
131,-80.36479656478723
132,-80.10550419033606
133,-79.74679270099782
134,-79.09133940815055
135,-79.37249130352217
136,-79.10822439706439
137,-79.37995060347606
138,-79.76268974785987
139,-79.69187360291954
140,-79.5276042815884
141,-79.69059132640729
142,-79.29470754329364
