,0
0,-109.37514072391018
1,-91.57820765387636
2,-85.3209543325458
3,-73.42162601858163
4,-70.19784188234813
5,-70.31314863382387
6,-69.99859464882552
7,-70.48529942589286
8,-76.99491498307202
9,-81.99101030291226
10,-82.06474086720495
11,-82.89319130757531
12,-91.1588074621026
13,-95.41546727730959
14,-99.36853537820093
15,-108.87557100734645
16,-115.53464985237271
17,-114.18893825096922
18,-114.75069065517707
19,-115.12361799333056
20,-119.38215513492608
21,-121.78664119082673
22,-120.0783064985103
23,-121.07552066426662
24,-125.15957601768183
25,-124.87930588386986
26,-126.66250309814458
27,-126.21001319998489
28,-125.92260279468555
29,-125.62339774665537
30,-127.83943301853952
31,-128.99115742045893
32,-128.1364775353184
33,-127.92854136971792
34,-128.22990693515337
35,-130.704057931169
36,-130.07073420690034
37,-128.8859331016789
38,-128.0137750645358
39,-128.51837458060487
40,-131.08322049931883
41,-132.3414995981046
42,-132.99947328686855
43,-133.76470273185234
44,-133.39840907341303
45,-133.85467207818064
46,-133.03212102337739
47,-133.33549696806801
48,-132.27638639561914
49,-131.83055157087745
50,-131.42710602336766
51,-130.58946073319072
52,-131.3432790186965
53,-133.05868784131246
54,-132.2808930975145
55,-132.03738354720886
56,-131.43679410711545
57,-130.71464719760758
58,-130.09068735543653
59,-130.2309723544939
60,-131.2545845987451
61,-132.4085909806882
62,-131.54353339225682
63,-130.42347875452845
64,-129.30314630247662
65,-128.72820377202416
66,-128.20594715680068
67,-127.72984465900794
68,-127.29179222304278
69,-126.89165202634122
70,-126.32706240442769
71,-125.83972269537678
72,-125.23628516929956
73,-124.76663017399964
74,-124.25411287481036
75,-123.28203787852097
76,-122.51875125562971
77,-121.8020636166089
78,-121.60681349484237
79,-121.01799169749745
80,-120.32088776584342
81,-120.84965106082547
82,-120.22421761937711
83,-119.76572274794961
84,-119.11967519719029
85,-118.61354060041131
86,-118.26654029440145
87,-118.13849372551418
88,-118.05821804956003
89,-118.06645290143585
90,-117.98274600550594
91,-118.1596980530743
92,-117.95170141157979
93,-118.07146912916416
94,-118.58493506399327
95,-118.7931241639112
96,-119.25320219629607
97,-119.58379460732696
98,-119.29294843345804
99,-118.8969975323349
100,-118.2027705567103
101,-118.0882287476387
102,-118.3191877487586
103,-118.62352003506014
104,-118.81081168740182
105,-119.40880041556221
106,-119.71854915590875
107,-119.8858579694966
108,-119.50942420240119
109,-119.04689973849062
110,-119.23767456706986
111,-119.04774245718946
112,-118.21250617522153
113,-117.34637272910877
114,-116.34862237130211
115,-114.50315166861036
116,-113.28624296503494
117,-113.56536783765414
118,-113.44197058442666
119,-113.01035895854817
120,-111.65186880778867
121,-110.90748448528586
122,-111.0066081356619
123,-110.97901220164819
124,-109.35824010571636
125,-109.3384218339359
126,-108.84897764780044
127,-108.29151437409186
128,-108.30312414511562
129,-107.85069569248608
130,-106.43054923911
131,-105.39651061610616
132,-105.05845905652656
133,-104.6706159056644
134,-103.9909555492533
135,-102.6854381827641
136,-102.35454384314528
137,-102.66450171219986
138,-102.31414805512377
139,-101.92178642484338
140,-100.18342969309562
141,-99.05225359785656
142,-98.40875401780417
143,-97.80353078696504
144,-97.84115503332625
145,-97.10192597559373
146,-97.07090312622967
147,-96.14058370112467
148,-96.16648561109596
149,-95.71099490544717
150,-95.50107022824704
151,-95.51652016771017
152,-94.72429176954354
153,-93.03472151835278
154,-92.66244564176245
155,-92.95102444117893
156,-92.72295846358546
157,-92.88446074612453
158,-92.6347994409357
159,-91.91864973317817
160,-90.66059271376199
161,-89.14504068183496
162,-88.89946097846035
163,-88.74649322167228
164,-88.85563762681731
165,-88.92790715448724
166,-88.43996166459905
167,-88.18181098918208
168,-88.36975641091225
169,-88.56851027956553
170,-88.03648323356914
171,-87.55988137410208
172,-88.13666467059122
173,-87.71213026358741
174,-87.45977964097371
175,-87.95253899526544
176,-88.32207345819229
177,-88.78260970438174
178,-88.81153328126067
179,-88.69373232630862
180,-88.67211079369325
181,-87.71238597056063
182,-87.88486190355876
183,-87.75126512791289
184,-87.686731247687
185,-87.42249981998346
186,-87.0522117790646
187,-86.56107375581173
188,-86.16819375651431
189,-85.46560366738058
190,-84.7954256490662
191,-84.20509504047789
192,-84.2596893115974
193,-84.01614542683585
194,-83.29577989662754
195,-82.81888658518636
196,-82.60260575964037
197,-81.95978265679028
198,-81.75481254385544
199,-81.38899829552842
200,-81.59794597713086
201,-82.0434230017781
202,-81.63640721190592
203,-81.53955930616029
204,-81.82877055898419
205,-81.70226957699329
206,-81.34822605064765
207,-81.07326101600523
208,-81.24696355541536
209,-80.89119016066083
210,-80.57879628710357
211,-80.7323323272174
212,-80.60831738225357
213,-81.2932587240371
214,-81.5299021393512
215,-81.5947702140613
216,-81.21531463946084
217,-80.4150040907262
218,-80.0726775337866
219,-79.92544472378725
220,-79.63421460489188
221,-79.43584522100075
222,-79.50898056737678
223,-79.17565862692801
224,-79.31153015148307
225,-78.5883319104169
226,-78.27879173818275
227,-78.77683484023139
228,-78.29266290627757
229,-78.12856033572814
230,-78.26145088741161
231,-78.02757739001467
232,-78.10018265900023
233,-77.92412303727032
234,-77.84828686277947
235,-77.65064682925428
236,-77.56330798130297
237,-77.3656858975699
238,-77.42968240687941
239,-77.16137753270613
240,-76.98675498926704
241,-77.08654676036738
242,-76.71998480181718
243,-76.45063239978444
244,-75.79715735205596
245,-75.49591121538583
246,-75.16237516831892
247,-75.27915476047357
248,-75.65589605688105
249,-75.84196043411957
250,-75.4106541650304
251,-75.21195594001264
252,-75.7473641217584
253,-75.95938961873911
254,-76.16849419229212
255,-75.39594109286185
256,-75.48098319567073
257,-75.02450534194514
258,-74.97394568153688
259,-75.40606103975749
260,-75.0543114895724
261,-75.52167783204878
262,-76.361402019193
263,-76.97766759003038
264,-76.87734681916211
265,-76.5497583069049
266,-76.92532619119008
267,-77.01898045380541
268,-76.87142745821058
269,-76.14553965082976
270,-76.2771525827737
271,-76.09842619305246
272,-75.08770640521467
273,-75.55433085467699
274,-75.8097905275032
275,-75.26467868124958
276,-74.67419931708834
277,-74.48708630285074
278,-74.19055730422858
279,-74.62948043550767
280,-74.94682058585249
281,-74.67441286613972
282,-74.28292995261036
283,-74.42901612258304
284,-74.48098679371734
285,-74.82181499718052
