,0
0,-122.24894824134739
1,-91.07159529694891
2,-94.86626582319464
3,-83.31351576070357
4,-86.90149125057766
5,-85.43380294265596
6,-87.13143008317651
7,-87.65851951205696
8,-88.83953311299534
9,-93.58634883692496
10,-94.05042937995417
11,-95.27355976695988
12,-91.85500440148175
13,-89.08524820538433
14,-87.74600486194956
15,-89.16976570476056
16,-86.10125072408351
17,-85.23053244330207
18,-86.43124732098785
19,-85.76705753680889
20,-85.68518406649585
21,-84.47255013542909
22,-83.00862664305845
23,-83.93609684722749
24,-85.66232581480973
25,-84.07203757265006
26,-83.91841060024406
27,-83.67888172772446
28,-83.1854451623462
29,-82.23462864595281
30,-83.03692163169993
31,-83.1900971488852
32,-82.82776377222896
33,-82.81752959221842
34,-82.836697879037
35,-82.84908242600659
36,-82.99631581976787
37,-82.35321936401131
38,-81.47485408848547
39,-82.55804537739837
40,-82.05621511397115
41,-81.8596833499847
42,-81.87642564709063
43,-81.93802833429051
44,-80.7935506469331
45,-81.83130992148335
46,-81.32219761318176
47,-81.41168080762493
48,-80.99868505213797
49,-80.97952012333977
50,-81.15330848743766
51,-80.62769258013587
52,-80.94751046008896
53,-81.61735082309386
54,-81.18503008069315
55,-80.82072877350042
56,-80.55885826308663
57,-80.27164594474368
58,-80.60141456032702
59,-80.81468918560225
60,-80.57116561481214
61,-80.25083654010676
62,-80.021984153623
63,-79.7380145059689
64,-79.19623217256026
65,-78.87114627070142
66,-78.98629207417692
67,-79.31531240917859
68,-79.30423568711954
69,-79.7397711030734
70,-80.04156799234484
71,-80.18917099981465
72,-80.35054101511174
73,-80.36553750473172
74,-80.49819256988452
75,-80.10629988711894
76,-79.94373002458882
77,-79.92890880413246
78,-80.23680364220807
79,-80.00515911850516
80,-79.56030272085164
81,-80.11816163429204
82,-79.9494130282382
83,-80.09968423554854
84,-79.72405266499844
85,-79.29130249064883
86,-79.32315975883665
87,-79.20017314161056
88,-79.06748740302457
89,-79.20896215328862
90,-78.85202435072556
91,-78.93877155644553
92,-78.76526987476042
93,-78.8694102540028
94,-78.65232674077222
95,-78.99929153716539
96,-79.16888461543317
97,-79.67299852970908
98,-79.60010940530518
99,-79.60631706199766
100,-78.79949010654701
101,-78.78616078716934
102,-78.40536521347647
103,-78.66244506819281
104,-78.41537107057059
105,-78.91946695051509
106,-78.55476841890267
107,-78.3423028915571
108,-78.16001488696642
109,-77.2839359023792
110,-77.14580654165039
111,-76.77273839643213
112,-77.07120444574673
113,-77.35769029508288
114,-77.34096043610143
115,-77.19226052170907
116,-77.6173668980884
