,0
0,-122.79924539551304
1,-91.29704875741866
2,-94.84081179226922
3,-83.52286798617627
4,-87.40778619875096
5,-85.74984541374438
6,-87.37312807190422
7,-87.50960856820548
8,-88.76543767580512
9,-94.16191500335438
10,-94.78783919624772
11,-96.15001710485927
12,-92.6823368188788
13,-89.91587803551452
14,-88.91929112220015
15,-90.67430396000225
16,-87.5947700402152
17,-86.46136696426863
18,-87.99177140167352
19,-87.22703097821656
20,-86.86892571293893
21,-85.3207227685006
22,-84.02041841974459
23,-85.31946795191709
24,-87.13964626634179
25,-85.02524066453074
26,-84.96085915054833
27,-84.79171590228687
28,-83.94697780891953
29,-83.55037495765741
30,-84.00908013299467
31,-83.98350253913257
32,-83.82816938045366
33,-83.88836822278911
34,-83.86849954708968
35,-83.60535039599905
36,-83.80873293252809
37,-83.06129857640418
38,-82.45202427501994
39,-83.37092795116735
40,-82.54376839334002
41,-82.44169426976757
42,-82.4337376115866
43,-82.68297765784972
44,-81.66041907090198
45,-82.5708030912004
46,-81.86029748245815
47,-82.20413590392458
48,-81.8430416862595
49,-81.8104834298275
50,-81.59307591006902
51,-80.83469539436335
52,-81.207878760696
53,-81.9502974163123
54,-81.34807536885394
55,-81.0329428212863
56,-80.50489811594106
57,-80.01852847538659
58,-80.07010965734891
59,-80.260778980222
60,-79.92164746203818
61,-79.55798738197043
62,-79.40582423859645
63,-79.24397415847848
64,-78.83395388921689
65,-78.48737036347626
66,-78.77431372307925
67,-79.0213097351519
68,-78.92976210555136
69,-79.26889984865018
70,-79.5686196716169
71,-79.71145078413298
72,-79.9574727841202
73,-80.00801768076681
74,-80.11538757562214
75,-79.60154254963099
76,-79.64843829081984
77,-79.69704897353232
78,-79.99175603413127
79,-79.78829206028868
80,-79.21956542643113
81,-79.80624555156778
82,-79.54452782785569
83,-79.77146176729678
84,-79.50625107477443
85,-79.16097056395134
86,-79.20529628518145
87,-79.11639479932909
88,-79.08764435072635
89,-79.21759896526707
90,-78.87297772068743
91,-78.97719180121679
92,-78.81090126339987
93,-78.50431509114868
94,-78.46673244752121
95,-78.6147978761207
96,-78.79045867790927
97,-79.04897649564532
98,-78.85969903481448
99,-78.84130446905414
100,-77.91838630451039
101,-77.91469532434337
102,-77.30871486434054
103,-77.5689089735396
104,-77.33923009345501
105,-77.7344167723527
106,-77.38237633838106
107,-77.16483140316511
108,-76.76410928465423
109,-75.84205581953209
110,-75.34779260505964
111,-74.63194124627867
112,-74.78690017492846
113,-75.06978782873149
114,-75.07497949922795
115,-74.80723930264477
116,-75.3506957916953
117,-75.8035691752582
118,-75.89489800268694
119,-75.92593864776136
120,-75.95268358298237
121,-76.32980763623786
122,-76.55301112744563
123,-76.93070357686557
124,-76.27615842728966
125,-77.14697170198673
126,-77.53108803871638
127,-77.46547090581635
128,-78.06773224916198
129,-78.18505707324398
130,-78.0965371251268
131,-77.9827234678642
132,-77.93287437803329
133,-77.72170871542617
134,-77.53263073339195
135,-77.38722309833915
136,-77.31092958466243
137,-77.85908218258407
138,-78.18179227224698
139,-78.24213853948014
140,-78.27772592417672
141,-78.35134695232503
142,-78.45461297032836
143,-78.55904552761916
144,-79.27165536325509
145,-78.79002445132586
146,-79.15526681539845
147,-78.73765825595538
148,-79.53329449637783
149,-79.56864054191502
150,-79.71525431733154
151,-80.26051220631467
152,-79.98851032472022
153,-79.34891865544168
154,-79.50684048268839
155,-80.14310314881789
156,-80.45925131972953
157,-81.05666357808227
158,-80.92081602201442
159,-80.60060622469082
160,-80.74818779466847
161,-80.79053065202687
162,-80.82754033913695
163,-80.6715415441854
164,-80.89102669411939
165,-81.15640661140147
166,-80.8514771557325
167,-80.78077060443084
168,-81.28734476348086
