,0
0,-122.57880720686347
1,-91.21760361932255
2,-94.85517306203269
3,-83.62214985359961
4,-87.39454595419663
5,-85.81792701406731
6,-87.70849391995183
7,-87.8639817911399
8,-89.10348391348666
9,-94.52939778923938
10,-95.13015139744071
11,-96.44701291650414
12,-92.92587052406796
13,-90.13460081683523
14,-89.20608371947007
15,-90.9153227873903
16,-87.8317819025719
17,-86.69890039601121
18,-88.16149066218388
19,-87.52776702145881
20,-87.1774614658161
21,-85.64852846025235
22,-84.35182397157189
23,-85.69010812935998
24,-87.65847291602442
25,-85.51273974960858
26,-85.47446152233682
27,-85.35690325005314
28,-84.52492440642757
29,-84.14666392800086
30,-84.67316859611493
31,-84.61416202279176
32,-84.40554985338248
33,-84.41093805710973
34,-84.38174017399865
35,-84.07812130564413
36,-84.26547252560303
37,-83.50154976501983
38,-82.8603784726472
39,-83.42412362833015
40,-82.56436416875286
41,-82.46726928756036
42,-82.46431781152008
43,-82.78071633064877
44,-81.8177063395887
45,-82.82842606838972
46,-82.15882554894175
47,-82.48194614345978
48,-82.1277585089402
49,-82.06438339656907
50,-81.85415609298224
51,-81.10129860532312
52,-81.49383496671594
53,-82.28375261769371
54,-81.70038810386463
55,-81.35384463483102
56,-80.88248912711236
57,-80.45192340729137
58,-80.46081733010473
59,-80.67584972434982
60,-80.27593715783192
61,-79.88317650937839
62,-79.66165410344207
63,-79.53623764573334
64,-79.0960553371034
65,-78.73730781429366
66,-78.97277174946264
67,-79.1578017156885
68,-78.99810366957067
69,-79.31695369844765
70,-79.58783205543256
71,-79.80217442480023
72,-80.07228153605313
73,-80.13348997706373
74,-80.2565990580882
75,-79.69810322218686
76,-79.92750575847504
77,-79.8641833840295
78,-80.18130426376372
79,-80.02394618739731
80,-79.38329173912268
81,-80.06837808765086
82,-79.81982859830042
83,-80.05786871150481
84,-79.69531770551426
85,-79.33194448015364
86,-79.27936358354158
87,-79.21021353191675
88,-79.1945069527925
89,-79.41449317387558
90,-78.96416324259614
91,-78.91205446396194
92,-78.7762831131589
93,-78.5084263582541
94,-78.49174713719634
95,-78.58329698462842
96,-78.81100293755145
97,-79.15540919855626
98,-78.98402398324406
99,-78.9578167336268
100,-78.08073619113136
101,-77.9536153792263
102,-77.36794688553387
103,-77.64111466894093
104,-77.47466740597935
105,-77.74887266324876
106,-77.38451583499707
107,-77.15761138226878
108,-76.73528704651427
109,-75.82272181009051
110,-75.35424524599566
111,-74.71164410508536
112,-74.99260649249757
113,-75.2660989929084
114,-75.20288123902871
115,-74.90460474009525
116,-75.40467705368906
117,-75.83940268168334
118,-75.94831604620639
119,-75.91343938312492
120,-75.89777045139323
