,0
0,-75.62483187661057
1,-72.24007267665911
2,-71.38890165115902
3,-63.28932072070595
4,-70.85804088222442
5,-71.6636449495137
6,-73.53612969838035
7,-76.01656952124502
8,-79.80140907755776
9,-83.76678424764444
10,-85.09119776300851
11,-86.16899912301356
12,-85.47586163912602
13,-83.05310889958375
14,-80.88439838013367
15,-82.18684216452826
16,-79.98115527865129
17,-78.98005441573405
18,-79.36296567980607
19,-78.80094381248827
20,-78.46542739047933
21,-78.88034179730344
22,-77.99272363003733
23,-79.44997665015877
24,-81.60066570202191
25,-80.43763590607918
26,-80.05713196775122
27,-79.72475814086548
28,-79.67987334127518
29,-80.19706728923073
30,-80.90234480470032
31,-81.34465864449623
32,-80.23560361359966
33,-80.96950538201646
34,-81.39704574294726
35,-80.99070752461445
36,-82.00383824108144
37,-81.80725733700888
38,-82.18090152945553
39,-81.72800985179012
40,-81.99609475998
41,-82.28139205712489
42,-82.46569881447837
43,-82.95775996515273
44,-82.7426891281626
45,-82.43720225342474
46,-82.29701564802613
47,-83.05602760861467
48,-83.4465857947051
49,-83.99567318708674
50,-83.72021104995791
51,-83.15983703262924
52,-84.03205364973876
53,-84.33359875786356
54,-84.00413631893926
55,-83.8520882310388
56,-83.57947899353364
57,-82.89214401714763
58,-82.96957506870567
59,-83.12772102706825
60,-82.83221378782297
61,-82.38548464817531
62,-82.08634627395591
63,-81.77993043708929
64,-82.00035126149155
65,-81.43580282973655
66,-81.39447919862164
67,-81.64102183117092
68,-81.4114211812036
69,-81.44294740366759
70,-81.358690944291
71,-81.54558691826509
72,-81.60352151314649
73,-81.42758411337442
74,-81.61501021554113
75,-81.44897713393836
76,-81.37040809776109
77,-81.19493270121829
78,-82.30542569936873
79,-82.62456084981743
80,-82.33588608055246
81,-82.81255995114611
82,-82.91518839712849
83,-83.42371976740061
84,-83.34596144183823
85,-83.54326493723816
86,-83.85603876514301
87,-83.99304195252267
88,-83.8775805013416
89,-83.83197972804615
90,-83.7896542178605
91,-84.1311216342898
92,-84.39539907341678
93,-83.91299595952628
94,-83.89266065900021
95,-83.92131826675914
96,-83.96400669973333
97,-84.34831250051528
98,-84.3027485056884
99,-84.31539352446934
100,-84.30500208596636
101,-84.27029032291773
102,-84.34103712459168
103,-84.71165007503858
104,-84.21768598917983
105,-84.68453008898115
106,-84.37464490783188
107,-84.23576896516448
108,-83.89273960096769
109,-83.62022035944784
110,-83.3618883256012
111,-82.98780506124336
112,-82.8936917927843
113,-83.03149423333603
114,-83.1529799146157
115,-83.05945876825199
116,-83.35882469696331
117,-83.66715136403391
118,-84.16902536425297
119,-84.16748892931574
120,-84.3388603678532
121,-84.50416296598276
122,-85.14228706124766
123,-85.97376265077591
124,-85.5438920207393
125,-86.3061590120804
126,-86.7298395378527
127,-86.6951467797656
128,-86.88989274607347
129,-86.97014921129463
130,-86.51102419636086
131,-86.25117427784268
132,-86.99599941124505
133,-86.79170646352887
134,-86.80404165632612
135,-87.10956610063153
136,-86.76212553568898
137,-87.2521697726242
138,-87.20071107619059
139,-87.63564646384353
140,-87.28683786942942
141,-86.95482745278268
142,-87.33801540052247
143,-87.54410904714426
144,-88.11751585741577
145,-88.30798904832176
146,-88.52861407569196
147,-88.31841963207715
148,-88.44472378745479
149,-88.51387912497722
150,-89.17262666678118
151,-89.97236122911546
152,-89.81613399798466
153,-89.38913668258886
154,-89.30799780034619
155,-90.23877523992716
156,-90.42772328469351
157,-91.25075349441784
158,-91.08215873918755
159,-91.04402029885583
160,-90.93744557969654
161,-91.26709222445497
162,-91.45602535197452
163,-91.5870569106915
164,-91.50005175869018
165,-92.44760496478156
166,-92.3224939359963
167,-92.37601668026038
168,-92.88972385035713
169,-93.59955951155027
170,-93.46461973040455
171,-93.43163269394012
172,-93.733366858937
173,-93.60452794236853
174,-93.5008299394599
175,-93.57391603196305
176,-93.81837132261178
177,-94.34897937610478
178,-94.01609811019944
179,-93.76792589290203
180,-93.86809798540486
181,-93.40042902518876
182,-93.37574902189336
183,-92.90136559150602
184,-92.59709856284672
185,-92.1195260638579
186,-91.61793324900827
187,-91.4610934119111
188,-91.54512053874734
189,-91.44142522555865
190,-91.06714498630895
191,-90.55035140778091
192,-90.30569182509635
193,-91.05730884865883
194,-91.0882153281146
195,-91.31319629652884
196,-91.97813180863885
197,-91.8870222744818
198,-91.75785298850765
199,-91.40433916069493
200,-91.29774991394315
201,-91.43670887214758
202,-91.60371278266331
203,-91.5355954994866
204,-91.81623780957591
205,-91.36259372249086
206,-91.69988861950725
207,-91.81264480557677
208,-92.09911440900112
209,-91.86586506358073
