,0
0,-102.61704682352317
1,-105.07987015003408
2,-95.35092995561774
3,-83.26950197832025
4,-83.63183962979689
5,-81.30703454948423
6,-80.773267014876
7,-81.7229916222499
8,-83.79230477453305
9,-87.83375362742655
10,-87.56186508614202
11,-89.47328589028979
12,-88.58927853799264
13,-87.9003403955412
14,-86.10276578548523
15,-86.88879056343109
16,-84.50672930828368
17,-83.61298057752077
18,-84.05733513815456
19,-85.17854440139482
20,-85.32742600693771
21,-84.27084596819472
22,-83.62417855160443
23,-83.24579016751757
24,-85.14216145970748
25,-83.15140711182555
26,-83.34212571274296
27,-83.03725450181363
28,-82.19579735686712
29,-81.25680877192148
30,-82.03088235078023
31,-81.97163748060257
32,-82.33375901280944
33,-82.80826974567694
34,-84.15552514780285
35,-83.33590163953689
36,-83.98262364475936
37,-83.49415645181618
38,-82.90409680927549
39,-83.6076791243612
40,-83.20843656631412
41,-82.69535034188377
42,-82.87579125134646
43,-83.38837289132901
44,-82.50143083292542
45,-82.19933523613088
46,-81.80362764068629
47,-81.97048292130266
48,-82.26119391560358
49,-82.78294226674842
50,-82.71609611751947
51,-82.18755283996083
52,-82.77057881790726
53,-83.50928162124603
54,-83.17581404329816
55,-83.10543999565854
56,-82.8745431149309
57,-82.00371325226126
58,-82.78537293230958
59,-83.14917475277802
60,-82.87226052434679
61,-82.85612121136595
62,-82.54983424845616
63,-82.32808603360742
64,-81.84658511201319
65,-81.57217356313171
66,-81.6012003708488
67,-81.77547459628968
68,-81.50057155205555
69,-81.72241896821852
70,-81.22719228352324
71,-81.3079123295044
72,-81.1239884793429
73,-81.32842475947095
74,-81.28001555614875
75,-80.9328492102592
76,-80.69268495318144
77,-80.6166616747181
78,-80.7496346940847
79,-80.53008017867717
80,-80.12908997540428
81,-80.98964594353883
82,-80.69271563535116
83,-81.0479548639883
84,-80.86411126341639
85,-80.976953369953
86,-81.07161084201765
87,-81.16399849673543
88,-80.99572612469062
89,-80.84573114779359
90,-80.79523871512448
