,0
0,-48.154906486247
1,-81.05756614060427
2,-73.20748722651659
3,-79.68393983631776
4,-76.7301990255705
5,-77.66902258914133
6,-79.42666133178922
7,-80.13802094891967
8,-82.77019299136413
9,-84.02864417229227
10,-85.92021252899757
11,-82.76452448570228
12,-79.55751844956869
13,-77.5607146407064
14,-78.66263219803155
15,-77.29896847509494
16,-75.67620153751685
17,-76.08028461277294
18,-76.60853258018109
19,-75.83887065210169
20,-76.03466874890934
21,-77.34027568587894
22,-77.19364807356953
23,-79.57842248557536
24,-78.26894743713798
25,-77.99163200643146
26,-77.5018692615485
27,-77.49289038818374
28,-76.86568097519077
29,-77.60213679003645
30,-77.9977447559227
31,-77.71752842156194
32,-77.3304412921114
33,-77.19566326670225
34,-77.25831601209664
35,-78.18411023291917
36,-77.58009430685875
37,-77.79851985525687
38,-78.6568241550549
39,-77.95647648504925
40,-78.73992374092033
41,-79.13679224163461
42,-79.013212601495
43,-78.18175893596339
44,-78.3111059633123
45,-78.69254184658192
46,-78.75563162591841
47,-78.87436115613617
48,-79.66513745492044
49,-79.8321959415361
50,-80.29057062852769
51,-80.8681600443744
52,-81.80011288657415
53,-80.96567667712976
54,-80.58942502396066
55,-80.88178239506149
56,-80.59753112343645
57,-80.65720797449568
58,-80.7824586884873
59,-80.56361094610324
60,-80.31040447468699
61,-80.09937245517298
62,-79.91763781672338
63,-79.32205376401441
64,-78.95114772748185
65,-78.88662100537705
66,-79.27563778206478
67,-79.36147779517094
68,-79.6578968106574
69,-79.65445890967817
70,-79.72967002766518
71,-80.00526768128188
72,-79.81672196767268
73,-79.89136408988581
74,-79.9527120028471
75,-79.99390700860677
76,-80.16755786718178
77,-80.5507018026027
78,-81.31392667807545
79,-80.8558802431421
80,-81.27865053840429
81,-81.19706392763861
82,-81.58996093310795
83,-81.01988748858733
84,-81.12307665480482
85,-81.05140734105538
86,-80.8940135734387
87,-80.6541731734871
88,-80.61105763260743
89,-80.13739266064003
90,-80.37712727999876
91,-80.34080532102891
92,-80.25203576726756
93,-80.00657395268105
94,-80.269593052219
95,-80.65566274031568
96,-80.7051153264832
97,-80.57257389243834
98,-80.44959758590234
99,-80.13716621856663
100,-80.1920347803357
101,-79.78665619165892
102,-79.7638391513278
103,-79.45092531666859
104,-79.6996720231568
105,-79.52823497799928
106,-79.16109703692457
107,-78.98592525773331
108,-79.07727567301853
109,-78.8340287569491
110,-78.33451866365247
111,-78.8856018269452
112,-79.32122677397433
113,-79.39470611657723
114,-79.29227090236682
115,-79.5814919607441
116,-79.75167426042498
117,-79.70227503588802
118,-79.68604427358491
119,-80.14756225171234
120,-80.2650865550206
121,-80.68980920882578
122,-81.18244553787201
123,-80.80126430367669
124,-81.71898739204144
125,-82.60353118311151
126,-82.72572483606403
127,-82.9109780771904
128,-83.08024246941004
129,-82.6138938772682
130,-82.46698186944845
131,-82.29562989531672
132,-82.41047975958425
133,-82.44410024410647
134,-82.69316502701884
135,-82.65689111963046
136,-82.86762071223531
137,-82.75499251095886
138,-82.69223316528458
139,-82.68749758481118
140,-82.26104195936018
141,-82.27373999066964
142,-82.83424276262825
