,0
0,-101.79998241094165
1,-81.37163806138182
2,-78.42129796854152
3,-69.73951344450568
4,-70.5271563320046
5,-67.96056477195775
6,-69.48647882770352
7,-68.98500338258184
8,-75.14454197462163
9,-81.36089511188499
10,-82.68643268187775
11,-85.16267154800997
12,-82.95672746881458
13,-81.9423684155465
14,-80.45445803425469
15,-81.12732294042013
16,-80.99389112059616
17,-80.66152771292239
18,-81.25570285753861
19,-80.57922488197696
20,-80.39391622716877
21,-80.4530567380089
22,-78.43874500825348
23,-78.48240952537516
24,-81.16260520691961
25,-79.98486135503373
26,-80.12821021237575
27,-79.41027812788766
28,-78.46187938652956
29,-77.82437609332797
30,-78.38642742624053
31,-78.09028451637575
32,-78.70633193358572
33,-78.5841466875154
34,-79.19848318678814
35,-78.49136653003976
36,-79.02965198954448
37,-79.06932707446992
38,-78.03591396744233
39,-79.72837562970483
40,-79.98396152339963
41,-80.54569003685167
42,-80.64661999844442
43,-81.10399103782551
44,-80.26135859562501
45,-80.92669814281388
46,-80.94208479944463
47,-80.95746900594378
48,-80.7199179280441
49,-80.69623640982483
50,-80.69676530213292
51,-80.59447788914518
52,-80.79936308526518
53,-81.16226099881169
54,-80.66977536325489
55,-80.8471873295582
56,-80.88765072112929
57,-80.56580072809231
58,-81.0885705417162
59,-81.14304579752103
60,-80.8327526117293
61,-80.52928869727992
62,-80.05773758981731
63,-79.94709044605939
64,-79.80544714460541
65,-79.5863880818068
66,-79.70998313129552
67,-79.95085686397408
68,-79.74089683020519
69,-80.68266097647196
70,-80.51961216371127
71,-80.77878328576868
72,-80.92047267258346
73,-81.52310927617145
74,-81.7454308954263
75,-81.58868590649432
76,-81.49084878952121
77,-81.50870152822532
78,-81.36897466070839
79,-81.29119413509486
80,-81.26884728586246
81,-82.12418647584992
82,-81.94735713374874
83,-82.21143990473259
84,-81.73984701967834
85,-81.50903581208526
86,-81.30239387499373
87,-81.44728934515398
88,-81.61675302248405
89,-81.520090336582
90,-81.20681311843036
91,-81.11368358210945
92,-81.03388181026098
93,-80.71803528269325
94,-80.34830656207936
95,-80.62212892128252
96,-80.8969112132627
97,-81.01570518114684
98,-80.62961364631443
99,-80.55199082414101
100,-80.00473083006332
101,-80.0140373534858
102,-80.20056432659584
103,-80.46870507194897
104,-80.42240561973011
105,-81.46242173926935
106,-81.72850567653214
107,-81.82827203819726
108,-81.45309075992785
109,-81.47970705311658
110,-81.19213801465868
111,-80.39243344850179
112,-80.50183549426332
113,-81.10422147919279
114,-81.16818906757509
115,-80.85229962587503
116,-80.76905265715295
117,-81.04759424346719
118,-81.07481762331071
119,-81.15095719691865
120,-81.33555926601858
121,-81.68971884724978
122,-81.92825558372921
123,-82.77761950034783
124,-81.97938342361891
125,-82.47717214657575
126,-82.65321036675654
127,-82.71269804970333
128,-83.28389373808405
129,-83.45592925942589
130,-83.01626492092632
131,-83.038402046413
132,-82.61840839174003
133,-82.69053860443972
134,-82.39326242336553
135,-82.4448160110462
136,-82.20162379456923
137,-82.90912543457176
138,-83.25134012311838
139,-82.51256364873392
140,-82.48661667714218
141,-82.1407343186822
142,-82.71437824567398
143,-82.6201874237565
144,-83.44325860029716
145,-83.37099631795752
146,-83.53668801614329
147,-83.34343139171965
148,-83.33516351557145
149,-83.41771959461967
150,-83.5574563456273
151,-83.48600191610248
152,-83.75250406198414
153,-83.68045185430594
154,-83.74535552367622
155,-84.28058852317066
156,-84.37347881454711
157,-84.75353647037772
158,-84.26951541772775
159,-84.46944789273088
160,-84.55516269593018
161,-84.46989641287948
162,-84.78585989058676
163,-84.62682978420865
164,-84.75714672033774
165,-85.15335846510274
166,-84.9260134810851
167,-84.61945996768569
168,-85.04928443042523
169,-84.87486375488469
170,-84.68941706060042
171,-84.27641633197142
172,-84.44743577829969
