,0
0,-103.86066482941183
1,-105.53702528624649
2,-95.12370208092527
3,-82.75419336591506
4,-83.07829408421259
5,-80.5921696661434
6,-80.21342587447644
7,-81.61931691169319
8,-83.55412182079206
9,-88.40721882510957
10,-88.01203233671738
11,-89.8373215394434
12,-89.08267922551302
13,-88.38603405519386
14,-86.5567563511073
15,-87.44000595452538
16,-85.02465624202482
17,-83.93839999130358
18,-84.30377345459083
19,-85.61447708337296
20,-85.74908071803404
21,-84.75431977503004
22,-84.16638461776625
23,-83.74590971534663
24,-85.76558928839178
25,-83.76419632774686
26,-83.99364618676557
27,-83.71680985360095
28,-83.03112066192813
29,-82.0981485292324
30,-82.69242517790873
31,-82.15066457644376
32,-82.44806216887984
33,-83.05587642689198
34,-84.25160744726968
35,-83.65002648645643
36,-84.13285584639175
37,-83.66141670415412
38,-82.96968402411693
39,-83.36382621015949
40,-82.91632725162223
41,-82.51643944033142
42,-82.8718194045713
43,-83.3715360614094
44,-82.48603219824716
45,-82.11589838900046
46,-81.76166152867881
47,-81.93448533373778
48,-82.0478850632712
49,-82.67647485007176
50,-82.90268932400997
51,-82.56443246937809
52,-83.05742401769086
53,-84.08496656200343
54,-83.7641674145721
55,-83.4479811337113
56,-82.97346064710516
57,-82.22249552587108
58,-82.6162136175018
59,-82.9633066373178
60,-82.55647937043805
61,-82.59781641419619
62,-82.28457763372234
63,-82.0201071415832
64,-81.51151840011195
65,-81.10132735539328
66,-81.04922774554696
67,-81.19068005578067
68,-80.80788356824411
69,-80.9540757423438
70,-80.78190038752787
71,-81.03690040591351
72,-80.89037336972105
73,-81.09451202244117
74,-81.13543362748017
75,-80.64891351769722
76,-80.38934346339296
77,-80.34262517315047
78,-80.78439202783218
79,-80.56734784199736
80,-80.16827955499522
81,-80.52527961104181
82,-80.38718205166617
83,-80.56350267976993
84,-80.63356516745193
85,-80.40740199621827
86,-80.34956103431934
87,-80.29660104049634
88,-80.46466751641582
89,-80.53872607197107
90,-80.26923996539935
91,-80.09816269240785
92,-79.99323748560347
93,-79.88557151809893
94,-79.6505650017106
95,-79.83873963831623
96,-80.14605642237352
97,-80.1284513163909
