,0
0,-102.23595197973687
1,-81.70411310255686
2,-78.51879352578628
3,-69.7180574003827
4,-70.32296823321164
5,-67.8606247845613
6,-69.40928759950444
7,-68.92576072480814
8,-75.11806233510976
9,-81.30591114429616
10,-82.62538468719744
11,-84.99178789744765
12,-82.80065226885917
13,-81.7861040523018
14,-80.30445326178575
15,-80.95645971992748
16,-80.88984590886923
17,-80.56027199931296
18,-81.15521559616042
19,-80.56227654994639
20,-80.3831907325665
21,-80.43815541075054
22,-78.40265601398018
23,-78.43314331714673
24,-81.13421350215278
25,-79.9956719261253
26,-80.14235152650306
27,-79.44746128459403
28,-78.48432171320668
29,-77.91157032473429
30,-78.45214184499198
31,-78.19041527089117
32,-78.81956329489883
33,-78.65517844325639
34,-79.25037216125898
35,-78.5855406107532
36,-79.15227050306534
37,-79.19067999642198
38,-78.19503521145135
39,-79.84219708554438
40,-80.12428727520887
41,-80.67229360422236
42,-80.78002286207584
43,-81.19524171323357
44,-80.32251638564854
45,-81.06650058524347
46,-81.07113008054318
47,-81.13560512064258
48,-80.91395513110356
49,-80.92945590462567
50,-81.01029374103383
51,-80.84829070828746
52,-81.0529235665206
53,-81.40467211023257
54,-80.91506132101827
55,-81.0396613650503
56,-81.19804417785755
57,-80.89028690418976
58,-81.44761580519341
59,-81.40440731590375
60,-81.0633522049891
61,-80.74864327937341
62,-80.27733565959903
63,-80.23028417452197
64,-80.09444195436386
65,-79.879337939275
66,-80.02306464332074
67,-80.26255220135887
68,-80.02280036301478
69,-81.00778975654741
70,-80.80605186148563
71,-81.12536344279904
72,-81.32816971486827
73,-81.95359681719087
74,-82.16193736475802
75,-82.07297235901726
76,-81.95393763035943
77,-82.03283338568
78,-81.85118353097843
79,-81.71238712858094
80,-81.61418329537834
81,-82.46293109212068
82,-82.42862168276453
83,-82.80074114911733
84,-82.24569070178927
85,-82.20835195543289
86,-82.03309320586469
87,-82.21407590027387
88,-82.23136925167027
89,-82.07873549988045
90,-81.96729393883024
91,-81.8937198788933
92,-81.75687111279373
93,-81.50698820193823
94,-81.17217668520634
95,-81.68475896789657
96,-82.09511824436625
97,-82.16958007509558
98,-81.76645766995456
99,-81.72410869852726
100,-81.20964676263888
101,-81.19339573470195
102,-81.29726174721178
103,-81.58174950505142
104,-81.56581528631736
105,-82.65199075033867
106,-82.88491369847928
107,-83.0301627275811
108,-82.63914872266513
109,-82.80697099229883
110,-82.51014817798297
111,-81.78724274260689
112,-81.91872208794577
113,-82.50441055442552
114,-82.45548312232273
115,-82.21876162284364
116,-82.1564751998101
117,-82.66242241937972
118,-82.75923137557142
119,-82.80822929674528
120,-83.22436408493034
121,-83.46377627926137
122,-83.68905789446502
123,-85.0246123388498
124,-84.15260219686168
125,-84.41271136330275
126,-84.63052391180578
127,-84.67554561854121
128,-85.3092657697082
129,-85.46687124556452
130,-84.95695505335537
131,-84.93253241614507
132,-84.46563733146577
133,-84.4917798837444
134,-84.02795292482396
135,-84.07363073410852
136,-83.7931459494709
137,-84.57297934991225
138,-84.83871544049418
139,-84.04126391076191
140,-83.97081212950533
141,-83.59738437759304
142,-84.19496692795927
143,-84.12520582467647
144,-84.93800553408762
145,-84.82724756176687
146,-84.95105870923007
147,-84.74647439888012
148,-84.72085348034494
149,-84.80817716957492
150,-84.88661837162468
151,-84.87060303246918
152,-85.08915827614749
153,-84.97164157483138
154,-85.02693380170169
155,-85.37277301841321
156,-85.27883536789267
157,-85.71619962077858
158,-85.19974042496906
159,-85.52817453105483
160,-85.48425580971043
161,-85.49348817032642
162,-85.75920712985126
163,-85.7394101784057
164,-86.05924560682962
165,-86.44795174086181
166,-86.32505864237976
167,-86.28448685984405
168,-86.818201434202
169,-86.55608157171842
170,-86.3797063786833
171,-85.93170098528805
172,-85.90540761665214
173,-85.4568668145429
174,-85.17395632969254
175,-85.51266667751038
176,-85.62858554936317
177,-85.68460187435907
178,-86.16668010895944
179,-86.14789449352085
180,-86.0947792242334
181,-85.45495669485776
182,-85.41043287375383
183,-84.85709633810512
184,-85.09090771254544
185,-85.04158283399093
186,-85.15881423703553
187,-84.82588982296882
188,-84.70134117528269
189,-84.68258364620942
190,-84.58393466981335
191,-84.97369498708564
192,-84.94891485879512
193,-85.3132957153375
194,-85.95362311526218
195,-85.50425043193603
196,-85.2795187785086
197,-85.32547249251837
198,-85.6853763223834
199,-85.45969796788779
200,-85.60558599085176
201,-86.1493861241761
202,-85.88746112236447
203,-85.83071426493858
204,-86.29991984886165
205,-85.40094066139203
206,-85.006163798199
207,-84.9433208573008
208,-85.15195700998427
209,-84.09161791741818
210,-84.13478014722872
211,-84.60995955288939
212,-84.9662925303521
213,-84.80010204625565
214,-85.2184568249629
215,-85.13999629821717
216,-85.20705123783428
217,-84.60369447407857
218,-84.41932828289939
219,-84.449877562098
220,-84.27158668137645
221,-84.0076956093831
222,-84.2664983341777
223,-83.20790806681836
224,-83.37432684348029
225,-83.08554132307837
226,-82.79961110468794
227,-82.82457062928799
228,-82.3457529320862
229,-82.42177503210293
230,-82.74856547780601
231,-82.58743922975827
232,-82.78953302381419
233,-82.78670101379399
234,-82.70199425940802
235,-82.81518007153826
236,-82.85765149042584
237,-82.33175420857214
238,-82.53757758039943
239,-82.37948261232361
240,-82.14557456860132
241,-82.64095102111398
242,-81.8525440805144
243,-81.58097476744094
244,-81.0165587748313
245,-80.70497379476183
246,-80.31828387397991
247,-80.20434828172631
248,-80.58656601384588
249,-80.498396198713
250,-80.15348649356999
251,-80.1067904910206
252,-79.58256151943428
253,-79.50208763800764
254,-79.5432363682735
255,-78.96362459058577
256,-78.95477643528525
257,-78.72437153268287
258,-78.65742111286856
259,-78.5742083010706
260,-78.61297162339423
261,-79.12990625385362
262,-79.26731447179344
263,-79.71333882480235
264,-79.28459676486632
265,-79.03163232583516
266,-79.08907034925903
267,-79.03308480868034
268,-78.67934833719727
269,-77.87135755027215
270,-77.9047407513832
271,-77.79208167257856
272,-77.50317210371384
273,-77.30222631869775
274,-77.64852971353069
275,-77.04116904015783
276,-76.5983513272631
277,-76.60653079097906
278,-76.2847211844304
279,-76.3846473444013
280,-76.49266901685655
281,-76.29033603131218
282,-75.86725342248202
283,-75.81620410507772
284,-76.14680544111492
285,-76.24537336720584
286,-76.4790997339791
287,-76.6164272752609
288,-76.75585244756569
289,-76.85857982236676
290,-77.10010206268366
291,-76.46428441739292
292,-76.52082196729667
293,-76.3888616020049
294,-76.2987915659192
295,-75.94868830058977
296,-76.24581639206977
297,-76.37091397099717
298,-76.35943943625975
299,-76.27102619425952
300,-76.36433642445259
301,-76.11655163461621
302,-76.33441241116473
303,-76.78867484201547
304,-76.46358466785868
305,-76.59107720956874
306,-76.51222132897661
307,-76.23125333006435
308,-75.69526740294864
309,-75.73215010168975
310,-76.097430834382
311,-76.38777658046101
312,-76.14392582126192
313,-75.67113581279138
314,-75.28206455554988
315,-75.42911487668927
316,-75.3553439953699
317,-75.19567352861942
318,-75.31952890173021
319,-74.97840855181136
320,-74.86827759233229
321,-74.98225821566274
322,-74.92286724019674
323,-74.5732271178664
324,-74.49893068482261
325,-74.85236817930765
326,-74.85670882938444
327,-75.7250431196654
328,-75.6882792067465
329,-76.45998549141008
330,-76.20179199362082
331,-76.70698535726105
332,-76.76241806890931
333,-76.91225758774524
334,-77.30847374450569
335,-77.25892975076408
336,-77.19178710994585
337,-76.59979331660251
338,-76.10117182115927
339,-76.17647449501902
340,-76.06939096200551
341,-75.48291000175816
342,-75.68165951641934
343,-75.6299030352
344,-75.6384952239002
345,-75.68543830623881
346,-76.41250411913902
347,-76.6117966995788
348,-76.44221855262106
349,-76.86658327434456
350,-77.13382027763991
351,-77.25314331527007
352,-77.56357794232046
353,-77.33748726863698
354,-77.51172017850537
355,-77.80108675603904
356,-78.08406437693112
357,-77.72705940530827
358,-77.95247534888091
359,-77.71306389261575
360,-77.71427054976908
361,-77.31936774452141
362,-76.86483716539554
363,-76.46773805753038
364,-76.50629517135113
365,-76.42132141407482
366,-76.677240346048
