,0
0,-102.23595197973687
1,-81.70411310255686
2,-78.51879352578628
3,-69.7180574003827
4,-70.32296823321164
5,-67.8606247845613
6,-69.40928759950444
7,-68.92576072480814
8,-75.11806233510976
9,-81.30591114429616
10,-82.42460924884736
11,-83.42616349559025
12,-82.20318791051409
13,-80.85367662818297
14,-79.7036091727557
15,-80.58358466581144
16,-78.64867059706103
17,-78.08094372374129
18,-78.67817594999777
19,-78.73511199119062
20,-78.61072798119807
21,-77.63355398887941
22,-77.81814718827118
23,-77.81681565489471
24,-80.64921257282144
25,-79.92413786983334
26,-80.08396729921859
27,-79.10688303936558
28,-78.79729500944322
29,-78.13291172918463
30,-79.18662228020895
31,-80.12862968144212
32,-79.51844634281629
33,-79.07508758975659
34,-79.41110775466714
35,-78.90930543053763
36,-79.46860128396494
37,-79.51788869928279
38,-79.36298279975176
39,-80.34421345373964
40,-80.90680437139814
41,-81.23033894362136
42,-81.11315604127972
43,-81.14392324607509
44,-80.49856035836108
45,-81.02444554722511
46,-80.6915013182729
47,-80.9403131907478
48,-80.68198296001334
49,-80.58952273003679
50,-80.48279495556842
51,-79.86141137496614
52,-80.53068647937965
53,-81.13363316803535
54,-80.6951930644058
55,-80.41284955041712
56,-80.14836576776538
57,-79.46642902021121
58,-79.77738476504975
59,-79.86706258730493
60,-79.71884999133383
61,-79.5821931964867
62,-79.19833670383643
63,-79.56182927261634
64,-79.04637761376712
65,-78.94260592468012
66,-79.09274194415316
67,-79.30723934068021
68,-79.25747292149342
69,-79.4507385239474
70,-79.4058859706683
71,-80.0601618543704
72,-80.10568478512772
73,-80.77018377761776
74,-80.56795312904957
75,-80.29978115224218
76,-80.28740873976699
77,-80.02756616991846
78,-80.37377736343946
79,-80.33192437617002
80,-80.18189933190037
81,-81.05466282392216
82,-80.77726604387684
83,-81.1544161704948
84,-80.74761480669578
85,-80.83017216086233
86,-80.6128740972612
87,-80.4509185778345
88,-80.387171983283
89,-80.49049895787078
90,-80.23981849302679
91,-80.1004580580883
92,-80.1818110454364
93,-79.99961923382502
94,-79.87974095595762
95,-79.84309079305227
96,-80.080204648549
97,-80.65793616665377
98,-80.40222485667587
99,-80.4763235517871
100,-79.82433808333705
101,-79.91899439826155
102,-79.91473261531128
103,-80.1205838154547
104,-80.0710956759255
105,-80.43536602396404
106,-80.37505729789304
107,-81.06013932791497
108,-80.75809195603766
109,-80.22608449001817
110,-80.00476658437572
111,-79.80291844050743
112,-79.76545778903332
113,-79.93839856194444
114,-80.25122245847444
115,-80.02956292251945
116,-80.13879453895893
117,-80.88093354092771
118,-81.46381503855103
119,-81.2062512045258
120,-81.11067204272376
121,-81.60236078027503
122,-81.66088603887103
123,-82.92049482046501
124,-81.93291820551393
125,-82.26169202482292
126,-82.43526838946725
127,-82.56915115999924
128,-82.81385381868662
129,-83.05845641723033
130,-82.71162416770886
131,-82.25135089832924
132,-82.81873000398474
133,-82.98445068847093
134,-82.56927860598815
135,-82.92638372808324
136,-82.65622720472578
137,-82.94482346872547
138,-82.94919262358906
139,-82.71640082483742
140,-82.74191197814952
141,-82.23238896779615
142,-82.32079297512173
143,-82.47290007207638
144,-83.25745390818602
145,-83.17594813342164
146,-83.5960592685408
147,-83.28790828907461
148,-83.43771334636749
149,-83.34684778612613
150,-83.42243455138534
151,-83.74741069457632
152,-83.54871465790066
153,-83.29983356480669
154,-83.43529445499122
155,-84.3848014767731
156,-84.50816893051908
157,-85.07984332716038
158,-84.6596885363476
159,-84.49316018081967
160,-84.51605151839054
161,-84.36774220550282
162,-84.63834548675791
163,-84.18335383045192
164,-84.45725655281927
165,-84.611278515043
166,-84.15702651024303
167,-84.26299529296193
168,-84.95082828577348
169,-85.22471351712896
170,-85.11575422917345
171,-84.81892456852343
172,-85.14943195632024
173,-84.56456031277378
174,-84.51050530539351
175,-85.1535535106797
176,-85.40418971586729
177,-85.7841869797993
178,-85.8305718249665
179,-85.83261995678424
180,-85.70796906451156
181,-85.00664589001137
182,-85.1334151181265
183,-84.79526623585728
184,-84.96862658477754
185,-84.75468071289482
186,-84.83921150980173
187,-84.88779341684233
188,-84.77162518028067
189,-84.54468410963617
190,-84.89739709639751
191,-85.47770303195244
192,-85.65149442109052
193,-86.37503413679595
194,-86.50928390851831
195,-86.67139889923824
196,-86.79537729807701
197,-86.33685237530659
198,-86.5987517889187
199,-86.70720559560951
200,-86.97187426880336
201,-87.29287970232527
202,-87.27534649690934
203,-87.40682460581118
204,-87.76595120040268
205,-88.03927332969033
206,-87.86276615957702
207,-87.35898889891487
208,-87.4963990364912
209,-87.26045603793767
210,-87.33095432484919
211,-87.16845158022221
212,-87.45264696961426
213,-87.96201742814327
214,-87.64260183773972
215,-87.59570778880592
216,-87.84048073356482
217,-87.22785644986783
218,-86.87655498455555
219,-87.0313416874898
220,-87.12545353200566
221,-86.64122353589093
222,-86.66769109382851
223,-85.93040428561417
224,-86.14386960115297
225,-85.84578280540262
226,-85.63547590306794
227,-86.11186581174071
228,-86.31497950736738
229,-86.23080687332785
230,-86.2826862556506
231,-86.20643052766746
232,-85.8075987690895
233,-85.71954474803339
234,-85.97810945182918
235,-85.63463690270567
236,-85.50669009138728
237,-85.02577092011907
238,-84.91415269065577
239,-84.63538168667472
240,-84.05122508959624
241,-84.24969581113503
242,-83.97830123379052
243,-83.84013030469437
244,-83.34978120296473
245,-83.11635845370849
246,-82.65975146620679
247,-82.73234893074812
248,-83.20100534012971
249,-83.71174728077358
250,-83.63387253945729
251,-83.55547883263336
252,-84.27538156830488
253,-84.14609758050446
254,-84.4173363664967
255,-83.73044921538535
256,-83.84103610556464
257,-83.4467548336045
258,-83.57740285117505
259,-83.72973925361364
260,-83.51123290493935
261,-83.7009765415928
262,-83.68349403967784
263,-84.11803738889182
264,-83.97757208246645
265,-83.846995535236
266,-84.53554612364154
267,-84.59712019742128
268,-84.19687031494928
269,-83.56532926618665
270,-83.46743200990088
271,-83.14267733089656
272,-82.61860075562372
273,-82.82164860542973
274,-83.11606307769858
275,-82.73909701784574
276,-82.23179670079843
277,-81.78150864709102
278,-81.5839828299559
279,-81.69307777736661
280,-81.9572575102587
281,-81.89848596210263
282,-81.58504856546479
283,-81.68776699030515
284,-82.03755555911812
285,-82.36624777834713
286,-82.33397537253153
287,-82.17876673439162
288,-82.57499574599532
289,-82.76005984879318
290,-82.60956035246365
291,-81.78845994912203
292,-81.35145592968321
293,-80.6425492736002
294,-80.80110274208968
295,-80.41873006631035
296,-80.4471261712629
297,-80.84148480108495
298,-81.26410030427981
299,-80.73739200917159
300,-80.93864800354103
301,-80.84620264477782
302,-81.04948374409388
303,-81.6309836217411
304,-81.01292240415354
305,-80.74873654326483
306,-80.71141981905946
307,-80.95160609919597
308,-80.66898334276712
309,-80.86303542502101
310,-81.4285185882565
311,-81.94048341655042
312,-81.84106123163431
313,-81.00514828719675
314,-81.19871125176098
315,-81.26012195375002
316,-81.09122942530284
317,-80.86378087016902
318,-80.46857386479041
319,-80.497347526688
320,-80.44966195358954
321,-80.99664339194896
322,-81.20119137376508
323,-80.77459688751146
324,-80.77053962577908
325,-80.90062226890151
326,-81.53185572224817
327,-81.22235839701531
328,-80.68266629562909
329,-81.68802136759257
330,-81.5646057271083
331,-82.19604077194728
332,-82.05582002362013
333,-82.36935354923313
334,-82.31456334586127
335,-82.26573662640429
336,-82.54421012218812
337,-82.55773092856992
338,-82.98897985174939
339,-82.89229267932636
340,-83.19550756369745
341,-83.26309823089208
342,-83.20581886300357
343,-83.10428264819654
344,-83.14596552377473
345,-83.48407483991916
346,-83.45921482428362
347,-83.59478168505885
348,-83.15272072259346
349,-83.2837566124451
350,-83.2471722983644
351,-83.15059835440569
352,-82.96333666276364
353,-82.79950028043446
354,-82.2176023009327
355,-82.33428927730216
356,-82.14721889135313
357,-82.38053864953625
358,-82.50413914078881
359,-82.20282694448385
360,-82.37741778721701
361,-82.36135668223025
362,-82.29761472893946
363,-82.16457347894136
364,-82.196200193425
365,-82.30557014923279
366,-81.92231363980865
