,0
0,-102.23595197973687
1,-81.70411310255686
2,-78.51879352578628
3,-69.7180574003827
4,-70.32296823321164
5,-67.8606247845613
6,-69.40928759950444
7,-68.92576072480814
8,-75.11806233510976
9,-81.30591114429616
10,-82.62538468719744
11,-84.99178789744765
12,-82.80065226885917
13,-81.7861040523018
14,-80.30445326178575
15,-80.95645971992748
16,-80.88984590886923
17,-80.56027199931296
18,-81.15521559616042
19,-80.56227654994639
20,-80.3831907325665
21,-80.43815541075054
22,-78.40265601398018
23,-78.43314331714673
24,-81.13421350215278
25,-79.9956719261253
26,-80.14235152650306
27,-79.44881518065505
28,-78.48484911459875
29,-77.91769180198189
30,-78.45973592254526
31,-78.201999576589
32,-78.82390868262307
33,-78.65676100243695
34,-79.24550797531096
35,-78.58164059399867
36,-79.15462686557105
37,-79.19264560048741
38,-78.19991710731475
39,-79.8449122126157
40,-80.12647454398841
41,-80.67234794805965
42,-80.77948723954427
43,-81.1855602028089
44,-80.31167260981842
45,-81.05910360594962
46,-81.06849368434077
47,-81.13328716432376
48,-80.9086713977835
49,-80.92740169089384
50,-81.00409585176148
51,-80.84076579114829
52,-81.04257188823858
53,-81.39186314902032
54,-80.90103140700248
55,-81.0258869478032
56,-81.18946453389904
57,-80.88061603401587
58,-81.40489926681987
59,-81.36175734394813
60,-81.01916575217486
61,-80.70251066548767
62,-80.23356293981206
63,-80.18729464511527
64,-80.05542435924006
65,-79.84124237458468
66,-79.98707001983757
67,-80.23059853989025
68,-79.9925695510702
69,-80.99212954433101
70,-80.7827280895991
71,-81.0946956349535
72,-81.30038585436316
73,-81.9251351142225
74,-82.13602680492819
75,-82.06137746732938
76,-81.94483434776834
77,-82.03930971141442
78,-81.86215078541944
79,-81.71639992268727
80,-81.61477588556697
81,-82.46475040860584
82,-82.3900486948494
83,-82.74840514193295
84,-82.20513417411333
85,-82.16075479698497
86,-81.95788121774743
87,-82.15495967018356
88,-82.20698233083718
89,-82.05863593241597
90,-81.94934562973816
91,-81.88332621779628
92,-81.73965066020378
93,-81.51418155408464
94,-81.17915090387426
95,-81.69315861535131
96,-82.12220247597459
97,-82.18682701245082
98,-81.78634436379407
99,-81.74902154918048
100,-81.24150397595987
101,-81.22310433254391
102,-81.34026508698679
103,-81.62509487606039
104,-81.63818116341052
105,-82.7569196235712
106,-83.04647371713386
107,-83.20554943011622
108,-82.87067807457179
109,-83.0589573568446
110,-82.76180238088378
111,-82.0456310279858
112,-82.18375087164027
113,-82.79130695486454
114,-82.75092407105384
115,-82.50718167724571
116,-82.46362857676931
117,-82.94097068762319
118,-83.00659459029426
119,-83.06332822273224
120,-83.48266868996436
121,-83.70413591313074
122,-83.93011822649056
123,-85.17216088464907
124,-84.31736964760026
125,-84.58618573419486
126,-84.80728461940103
127,-84.85379775139785
128,-85.4724425372998
129,-85.6598658764073
130,-85.18190783412535
131,-85.16088014667632
132,-84.7027364239045
133,-84.71434432889932
134,-84.26770908877303
135,-84.31951958906753
136,-84.04018716868451
137,-84.8181580220642
138,-85.1100674536258
139,-84.33051913901545
140,-84.29662936017179
141,-83.94634141817555
142,-84.52042223243743
143,-84.49906691997454
144,-85.42104925583557
145,-85.30850274842409
146,-85.42312943582118
147,-85.17827221143516
148,-85.15936390212437
149,-85.23820308305847
150,-85.34246448872307
151,-85.31439452191795
152,-85.53783177826503
153,-85.48837153712721
154,-85.54185327699638
155,-85.9531223667846
156,-85.89474268452358
157,-86.26993367483772
158,-85.79446113014164
159,-85.99626311574106
160,-85.96702099503099
161,-85.91695035700454
162,-86.18166760112267
163,-86.1614199776379
164,-86.39767713413384
165,-86.92473081429652
166,-86.85069958429442
167,-86.84765314822079
168,-87.35235291395855
169,-87.06817201321267
170,-86.89554085949298
171,-86.42513036256469
172,-86.42506445372483
173,-85.89630407202694
174,-85.64010162948318
175,-85.99233777643052
176,-86.2042963691081
177,-86.10854014593066
178,-86.59750071279721
179,-86.57683368760313
180,-86.56040718555617
181,-85.90725653879424
182,-85.8969584597257
183,-85.39685439383975
184,-85.59013487125101
185,-85.62233884033265
186,-85.7735031165692
187,-85.39865970141389
188,-85.29724263961134
189,-85.248748858863
190,-85.14722444674179
191,-85.509939516046
192,-85.54650770499372
193,-85.84283116326664
194,-86.43837620214772
195,-86.02955419068246
196,-85.74636003621909
197,-85.74055752492475
198,-86.1313852098349
199,-85.91242958662943
200,-86.05210448472299
201,-86.6421626583503
202,-86.33915851401005
203,-86.30118162244278
204,-86.68748064251538
205,-85.80409233933258
206,-85.30445940955404
207,-85.22846397257683
208,-85.45556722162515
209,-84.41921068491028
210,-84.35387758068947
211,-84.87618137233072
212,-85.20711657739776
213,-85.01131936093759
214,-85.48150787213075
215,-85.39234930826052
216,-85.4681742073048
217,-84.78731606366381
218,-84.59632634607668
219,-84.65204357377584
220,-84.50520558903254
221,-84.19156357476122
222,-84.57210796516249
223,-83.62194403207519
224,-83.77843904552445
225,-83.39200906050817
226,-83.19556653707646
227,-83.19810139104077
228,-82.73121300882107
229,-82.75298426808136
230,-83.04785949409565
231,-82.96554694829803
232,-83.19322335398108
233,-83.23893346427745
234,-83.1055943657846
235,-83.24646539985837
236,-83.34892762054311
237,-82.7448687352381
238,-82.87818118649801
239,-82.68298017868179
240,-82.38487160991646
241,-82.96804685755734
242,-82.20913180019832
243,-81.94556556376537
244,-81.2526114091267
245,-80.8986190022637
246,-80.49264201072012
247,-80.42599415996523
248,-80.80576929163348
249,-80.71207842993982
250,-80.28956527798995
251,-80.24212660346504
252,-79.70686412946067
253,-79.52663665660039
254,-79.59407176620749
255,-78.96946066986713
256,-78.91302321299798
257,-78.77550741025335
258,-78.65628827573147
259,-78.68980013094603
260,-78.73534483582061
261,-79.32626910697883
262,-79.49726148070079
263,-79.94285294222422
264,-79.59305279235336
265,-79.20834067448509
266,-79.23229432519753
267,-79.19344326387488
268,-78.89147657890379
269,-78.16453857658371
270,-78.1341877926059
271,-78.0733095583102
272,-77.76147646204295
273,-77.75642613451028
274,-78.09207625957357
275,-77.49449754531064
276,-76.96539214459945
277,-77.1001555604351
278,-76.69876574804884
279,-76.77279620453216
280,-76.88896701878552
281,-76.72353146573319
282,-76.31926860034388
283,-76.4175088211236
284,-76.86359362504183
285,-76.88136021935243
286,-77.0587462902226
287,-77.26573672317625
288,-77.33271231461238
289,-77.46560830825288
290,-77.8569328662474
291,-77.26714778037473
292,-77.23380570100362
293,-77.07702718328648
294,-77.00941575243506
295,-76.67067938972161
296,-77.00457116664164
297,-77.30111993671511
298,-77.23103265383963
299,-77.10821676213213
300,-77.18782098870604
301,-76.97998835411865
302,-77.21446614063447
303,-77.55788176056083
304,-77.29284478635329
305,-77.43247372785802
306,-77.4538313038726
307,-77.25500303672605
308,-76.77107742509091
309,-76.81292150375405
310,-77.25101304779815
311,-77.50122665852518
312,-77.29351458927218
313,-76.84942877722855
314,-76.43365858103286
315,-76.65796565344142
316,-76.651859778065
317,-76.69676578701556
318,-76.88678664491162
319,-76.56402571886396
320,-76.49403804649474
321,-76.70352257863196
322,-76.52374209126087
323,-76.09713943878643
324,-75.953114333215
325,-76.52125781668424
326,-76.47399090425083
327,-77.49894321067464
328,-77.50483369978878
329,-78.15456601324911
330,-78.04914737179719
331,-78.49703480139453
332,-78.53925489725535
333,-78.63330766170476
334,-79.25406160471717
335,-79.22029622909072
336,-79.00751853571813
337,-78.51953176341948
338,-78.10396434750098
339,-78.19935726577306
340,-78.31931543578327
341,-77.60806173835267
342,-77.70403551630851
343,-77.63804232043445
344,-77.74162556037886
345,-77.79987564323082
346,-78.50226977905331
347,-78.76490995908868
348,-78.57621914770353
349,-78.99164538241564
350,-79.2910635404839
351,-79.52498114023379
352,-79.70833648849671
353,-79.55601321622659
354,-79.69107592634312
355,-79.83554484246477
356,-79.97213105260889
357,-79.77043845785265
358,-80.07326456864898
359,-79.83428772508718
360,-79.56908864087056
361,-79.02775226408103
362,-78.75622916344315
363,-78.3755082895725
364,-78.39597097044646
365,-78.41922687615424
366,-78.68081550518386
