,0
0,-104.21576099103459
1,-106.38238708568738
2,-95.69521477464293
3,-83.41240631701493
4,-83.44754966406921
5,-80.74742660723253
6,-80.24989600171466
7,-82.05511877871152
8,-83.82422607126836
9,-88.23145121500993
10,-87.77629557112112
11,-89.50316740173382
12,-88.74526809717337
13,-88.23373637125567
14,-86.34706905933523
15,-87.1678073555164
16,-84.82666310853963
17,-83.7612342611315
18,-83.95097054544267
19,-85.39910324431493
20,-85.49702901168388
21,-84.51367746916725
22,-83.77466263936411
23,-83.38436425099663
24,-85.54125414988714
25,-83.42064846456505
26,-83.76503125069395
27,-83.5812514074139
28,-82.88965765176594
29,-81.98266049752118
30,-82.53893759113545
31,-82.40296948902673
32,-82.64399325466535
33,-83.71873528070452
34,-84.47006740753328
35,-83.64757656596151
36,-84.33100985268358
37,-83.85951504469323
38,-83.5179122935899
39,-83.9868770674594
40,-83.33328737470663
41,-83.13379915455802
42,-83.58537683745033
43,-83.92977504251672
44,-82.93036474637918
45,-82.54965596932969
46,-82.39626892405259
47,-83.032631073723
48,-83.38522239728871
49,-84.14070805571713
50,-84.32582111675187
51,-83.99310478234581
52,-85.21247865416828
53,-85.83981418724925
54,-85.36919742728618
55,-84.99747190457693
56,-84.81796271536975
57,-84.33882296791593
58,-84.73049314987186
59,-85.12450365743877
60,-84.73798974331693
61,-84.61681443993933
62,-84.28503134468387
63,-83.9654697071687
64,-83.23414431049841
65,-82.96246684041718
66,-82.77416650769928
67,-82.79242689056419
68,-82.2694473038606
69,-82.55008916205429
70,-82.18020756044635
71,-82.25893871508408
72,-82.47182509686911
73,-82.37959461802295
74,-82.441323544751
75,-82.55615121559528
76,-82.4135353620178
77,-82.60857703640058
78,-82.98720070461164
79,-82.83087954558542
80,-82.36613755241177
81,-82.96026892852976
82,-82.77937113078049
83,-83.05711299054344
84,-82.84446846713466
85,-82.69581989221088
86,-82.79741318455156
87,-82.66605436788298
88,-82.57809585096308
89,-82.34016099090738
90,-82.4463244906764
91,-82.20514007869983
92,-82.19463731684694
93,-82.42633193253809
94,-82.39639914733941
95,-82.82066770505283
96,-83.14347013958367
97,-83.309472224262
98,-83.10911120298921
99,-83.13357839490568
100,-82.74200130561654
101,-82.6449654685628
102,-82.60441230360333
103,-82.72438855622372
104,-82.93716814420868
105,-83.15209351276366
106,-83.27067513569615
107,-83.23585210287963
108,-83.00108569067768
109,-82.3625761067164
110,-82.28575173738837
111,-81.98382539018914
112,-81.8578619811064
113,-81.86791838272475
114,-82.09394345196647
115,-81.94047576688507
116,-82.12355020279878
117,-82.08572597335632
118,-82.14128535519153
119,-81.66329684864637
120,-81.61985646193199
121,-81.74816505686451
122,-82.02401152396793
123,-82.51923096359351
124,-81.82671478113627
125,-83.22348093137369
126,-83.68977770759113
127,-83.73329249980479
128,-84.09887266679917
129,-84.25055334390164
130,-84.47474797781273
131,-84.39951369046992
132,-84.07833126824723
133,-83.64632141056785
134,-83.27181401978376
135,-83.87078194267794
136,-83.48286611698906
137,-83.74004931874579
138,-83.78453513194614
139,-83.71068276152552
140,-83.69149788338864
141,-84.09607255036983
142,-83.79900920755155
143,-83.93548599567046
144,-84.6198913323592
145,-84.73898069187348
146,-84.8579952540303
147,-84.27374426569648
148,-84.61651487170407
149,-84.0888117134209
150,-83.86395746432213
151,-84.26410418450821
152,-84.02592751546365
153,-83.39543668602806
154,-83.32390313792061
155,-84.56547769471486
156,-84.89725551900466
157,-85.22235453731896
158,-84.74014798702783
159,-84.59557220277067
160,-84.86828250423883
161,-84.73687190594836
162,-84.70611407206835
163,-84.69382672365099
164,-85.07399227937626
165,-85.41831207461622
166,-85.37753713775606
167,-85.2749258105705
168,-86.13490160625356
169,-86.50940402218458
170,-86.44133316712312
171,-86.19173149161925
172,-86.95947550749574
173,-86.79072369114866
174,-86.55553841010862
175,-86.65530985434627
176,-87.20976281088537
177,-87.23600615447157
178,-87.14705697779
179,-87.22872650141657
180,-87.45982729768191
181,-86.84792819750243
182,-87.3847864811211
183,-87.16957944405917
184,-87.30079462885605
185,-87.34618747532357
186,-87.13127769504692
187,-87.0165038259561
188,-87.01612891808041
189,-87.09495128504612
190,-86.7149516200387
191,-87.21577015563307
192,-87.46256425853308
193,-87.35112170189508
194,-87.91483701602878
195,-87.95738701253555
196,-88.09305632747152
197,-88.22375468829112
198,-88.40133355922022
199,-88.22714273237385
200,-88.18503325598526
201,-87.9239454170112
202,-88.21277150587605
203,-88.40374317406051
204,-88.43821390140016
205,-88.9982386735717
206,-88.90086619910906
207,-88.82893579905483
208,-89.2799666798981
209,-89.39288864968289
210,-89.45796664780994
211,-89.49087771089508
212,-89.64945485605436
213,-89.7472186919259
214,-89.76907877177581
215,-89.65183362259995
216,-89.68858160846231
217,-89.73795613015673
218,-89.76065597657986
219,-89.93737754508562
220,-89.86796865213454
221,-90.06058584545707
222,-89.91029583642927
223,-89.88739699566369
224,-89.74939496618501
225,-88.51059180986879
226,-88.12652349931457
227,-88.465179054131
228,-88.11135791003798
229,-88.04928267193503
230,-87.46984267993713
231,-87.28203846652993
232,-87.80128680535587
233,-88.1249891776943
234,-88.12995328698837
235,-87.97651215527723
236,-88.18513520713763
237,-87.91908404701951
238,-87.77804200891596
239,-87.76555324035562
240,-87.69804313215185
241,-87.1371713573803
242,-86.96134263344578
243,-86.68843093850845
244,-86.25143901368648
245,-86.39295799946036
246,-86.14775794401963
247,-86.2747394415232
248,-86.2084335300053
249,-86.27126926031414
250,-86.25656983810042
251,-86.13650252333842
252,-85.81660699823142
253,-86.0518788805889
254,-86.2505721288891
255,-85.19651958103228
256,-84.88478816336125
257,-84.8217563918556
258,-84.98258592010775
259,-84.981199832275
260,-84.71908108628784
261,-85.52509510820789
262,-86.08555862182378
263,-86.69384795049733
264,-86.9261705046738
265,-87.05116460040634
266,-87.32479123432513
267,-87.79429405033378
268,-87.4053502791388
269,-86.52610021177289
270,-86.65198991632862
271,-86.55578599781406
272,-85.31460508017227
273,-85.36567187934875
274,-85.36906567286364
275,-84.91317985602812
276,-84.39120307008716
277,-84.52537501069939
278,-84.22006941168503
279,-84.07897673050051
280,-84.33644382250927
281,-84.43488255920285
282,-84.17565303740476
283,-83.85763512300646
284,-84.12459205249361
285,-84.10985919656603
286,-84.10221654416756
287,-84.18955992420017
288,-84.44986962554661
289,-84.86189857154184
290,-85.43809150527791
291,-85.03974112156642
292,-84.751117262705
293,-84.48753029128245
294,-84.11601220469136
295,-83.5611348686877
296,-83.41422357478199
297,-83.28826727547954
298,-83.15634357024668
299,-82.99757346092196
300,-83.34109975345062
301,-83.49431973321948
302,-83.54710824511584
303,-83.70736638515896
304,-83.29731585178033
305,-82.81585911281445
306,-82.9357230449499
307,-83.32450397081413
308,-82.74515882690264
309,-82.85296439226235
310,-83.02851357126401
311,-82.97806289576147
312,-82.72507494126916
313,-82.5223482141227
314,-82.28679593145878
315,-82.26018614969028
316,-82.25499865992006
317,-82.09220850400888
318,-81.94040767592566
319,-81.61454126992646
320,-81.67239703052411
321,-81.51819784776485
322,-81.3672880689774
323,-81.01464558995423
324,-81.15993087721532
325,-81.28390923067688
326,-81.29669509460194
327,-81.0041313387601
328,-81.13337197079284
329,-82.3607837475267
330,-82.43071417793583
331,-82.8330741688431
332,-82.33358095598618
333,-82.28968951056244
334,-82.66756873363035
335,-82.64865373366808
336,-82.37469252191171
337,-82.46794572233512
338,-82.75992940968594
339,-82.41315749602077
340,-82.67333499288075
341,-82.78008541854841
342,-82.86389500220879
343,-82.49322529579064
344,-82.69572464843311
345,-82.67803941219233
346,-82.80227901067248
347,-82.86354380156035
348,-82.46340031351723
349,-82.65335574205199
350,-82.51223591433005
351,-82.2485972328289
352,-82.25740118011613
353,-82.07911023347403
354,-82.117124986899
355,-81.93035334319066
356,-81.84020846751253
357,-81.76642456055936
358,-81.71634993870394
359,-81.932508858332
360,-81.98557049029797
361,-80.980532764151
362,-80.63462855308934
363,-80.24559674333452
364,-79.83371299060879
365,-79.47833017880593
366,-79.1223996652718
367,-79.0119283021611
368,-78.73411315079738
369,-79.05267431130929
370,-79.27555246620757
371,-79.96306727789282
372,-80.14791368428695
373,-80.15114994879399
374,-80.66805171431321
375,-81.02875602164696
376,-81.43040897598694
377,-81.0188027279618
378,-81.29554324702323
379,-81.31669183440658
380,-81.60567552895353
381,-81.7465596266837
382,-81.61468462814182
383,-82.01349880332855
384,-81.57018300059104
385,-81.49766432859234
386,-81.28466342327562
387,-81.3168722604195
388,-81.28860430534553
389,-81.07036125271993
390,-80.50478122126235
391,-80.67487969250851
392,-80.88364436103862
393,-81.18074745779325
394,-80.79549588125896
395,-80.58435298706365
396,-80.30399798945032
397,-80.09258526705257
398,-80.2427640624421
399,-80.27305100849858
400,-79.65362434107072
401,-79.39533845589537
402,-79.08386139675707
403,-78.7485709077936
404,-79.16070835173268
405,-78.97608349963065
406,-79.13376846359694
407,-78.68725939572465
408,-78.71806480247287
409,-78.49039284092996
410,-78.25459818980343
411,-78.25381793945736
412,-78.67053773303593
413,-78.79182488345728
414,-78.95695282233
415,-78.84114723054734
416,-78.9115816737331
417,-79.340766186634
418,-79.21964486986484
419,-79.51588910680259
420,-79.54428437208617
421,-79.45486629106499
422,-79.47097254651324
423,-79.3817256441484
424,-79.59222260451276
425,-79.57660809306566
426,-79.36311462894331
427,-79.29089053964879
428,-79.51343530407827
429,-78.91046119721878
430,-79.04667596786338
431,-78.85343400911702
432,-78.8473716213612
433,-78.48993290321415
434,-78.0969855783806
435,-77.92733213922548
436,-78.03788092753226
437,-78.14195121353875
438,-78.42915488805568
439,-78.3825893651617
440,-78.57546861072359
441,-78.75377634404258
442,-78.79151440288582
443,-79.16554023271709
444,-79.30902271874062
445,-78.88119820255967
446,-79.05224563561794
447,-78.88724937910288
448,-78.80423241972908
449,-78.490225858063
450,-78.46125781797343
451,-78.76415994560627
452,-79.00439420689591
453,-78.82579992160993
454,-78.6700794991721
455,-78.99682722645531
456,-79.25045203695178
